title,rating
Just Beyond,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/beyond_the_steppes_2011 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75238BC0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Secrets Of The Zoo: Down Under,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_facts_of_life_down_under (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A757657C0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Secrets of the Zoo: North Carolina,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/secrets_of_the_north_sea (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75358B00>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Wizard of Paws,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_amazing_wizard_of_paws (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75D0D0A0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Zombies: Addison's Moonstone Mystery,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/rise_of_the_zombies_2012 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75C65F70>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Just Roll With It: You Decide Live!,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/shoot_first_and_pray_you_live_because_luck_has_nothing_to_do_with_it (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74F9BBC0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Mickey's Tale of Two Witches,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/a_tale_of_two_sisters (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A76371010>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Muppets Haunted Mansion,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/muppets_haunted_mansion (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74FD6CF0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Most Magical Story on Earth: 50 Years of Walt Disney World,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_most_magical_story_on_earth_50_years_of_walt_disney_world (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7566D790>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Under Wraps,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/under_wraps_2021 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A757FC500>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
